Date,Flow
1871-01-01,1120
1872-01-01,1160
1873-01-01,963
1874-01-01,1210
1875-01-01,1160
1876-01-01,1160
1877-01-01,813
1878-01-01,1230
1879-01-01,1370
1880-01-01,1140
1881-01-01,995
1882-01-01,935
1883-01-01,1110
1884-01-01,994
1885-01-01,1020
1886-01-01,960
1887-01-01,1180
1888-01-01,799
1889-01-01,958
1890-01-01,1140
1891-01-01,1100
1892-01-01,1210
1893-01-01,1150
1894-01-01,1250
1895-01-01,1010
1896-01-01,1070
1897-01-01,1030
1898-01-01,1100
1899-01-01,774
1900-01-01,840
1901-01-01,874
1902-01-01,694
1903-01-01,940
1904-01-01,833
1905-01-01,701
1906-01-01,916
1907-01-01,692
1908-01-01,1020
1909-01-01,1050
1910-01-01,969
1911-01-01,831
1912-01-01,726
1913-01-01,456
1914-01-01,824
1915-01-01,702
1916-01-01,1120
1917-01-01,1100
1918-01-01,832
1919-01-01,764
1920-01-01,821
1921-01-01,768
1922-01-01,845
1923-01-01,864
1924-01-01,862
1925-01-01,698
1926-01-01,845
1927-01-01,744
1928-01-01,796
1929-01-01,1040
1930-01-01,759
1931-01-01,781
1932-01-01,865
1933-01-01,845
1934-01-01,944
1935-01-01,984
1936-01-01,897
1937-01-01,822
1938-01-01,1010
1939-01-01,771
1940-01-01,676
1941-01-01,649
1942-01-01,846
1943-01-01,812
1944-01-01,742
1945-01-01,801
1946-01-01,1040
1947-01-01,860
1948-01-01,874
1949-01-01,848
1950-01-01,890
1951-01-01,744
1952-01-01,749
1953-01-01,838
1954-01-01,1050
1955-01-01,918
1956-01-01,986
1957-01-01,797
1958-01-01,923
1959-01-01,975
1960-01-01,815
1961-01-01,1020
1962-01-01,906
1963-01-01,901
1964-01-01,1170
1965-01-01,912
1966-01-01,746
1967-01-01,919
1968-01-01,718
1969-01-01,714
1970-01-01,740
